;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;Customer Service Hours;;;
;;;;;;;;;;
;;;;;;;Monday - Friday: 8am - 5pm CST;;;
;;;;;;;Saturday: CLOSED;;;
;;;;;;;Sunday:  CLOSED;;;
;;;;;;;;;;
;;;;;;;support@miniaturemarket.com;;;
;;;;;;;877-326-4429;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Category;Product Type;SKU;Name;Retail Price;Sale Price;Discount;Click to view;sort;url key
;Board Games;2 Handsome Games;2HG01SOMD;Stay Out of My Dungeon!;$54,99;$33,00;40%;VIEW PRODUCT;;2hg01somd
;Board Games;Albino Dragon;ALB246;The Goonies Adventure Card Game;$34,99;$26,00;26%;VIEW PRODUCT;;alb246
;Board Games;Alderac Entertainment Group;AEG5508;Smash Up: Munchkin;$34,99;$20,00;43%;VIEW PRODUCT;;aeg5508
;Board Games;Alderac Entertainment Group;AEG5816;Planes;$39,99;$12,00;70%;VIEW PRODUCT;;aeg5816
;Board Games;Alderac Entertainment Group;AEG5828;Game of Crowns;$30,00;$8,00;73%;VIEW PRODUCT;;aeg5828
;Board Games;Alderac Entertainment Group;AEG5843;Greedy Greedy Goblins;$39,99;$22,50;44%;VIEW PRODUCT;;aeg5843
;Board Games;Alderac Entertainment Group;AEG5853;Guildhall Fantasy: Coalition;$27,99;$11,00;61%;VIEW PRODUCT;;aeg5853
;Board Games;Alderac Entertainment Group;AEG5870;AEG Black Box 2016;$49,99;$18,50;63%;VIEW PRODUCT;;aeg5870
;Board Games;All Over The Board Games;AOB-ASK001;Don't Be a Loser;$29,95;$12,00;60%;VIEW PRODUCT;;aob-ask001
;Board Games;All Over The Board Games;AOB-ASK002;Don't Be A Loser: Shenanigans Expansion;$19,95;$9,00;55%;VIEW PRODUCT;;aob-ask002
;Board Games;Antler Games;ATR0101;Saltlands;$49,95;$28,50;43%;VIEW PRODUCT;;atr0101
